F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,Z,log(age)
8.10178E-20,7.2381E-20,6.56307E-20,5.47485E-20,3.54119E-20,3.70E-20,5.38E-21,1.12E-20,6.96E-21,4.27E-21,2.39184E-21,1.00E-05,6.00E+00
8.80966E-20,7.89642E-20,7.17566E-20,5.99802E-20,3.8909E-20,4.07E-20,5.91E-21,1.23E-20,7.61E-21,4.63E-21,2.55854E-21,1.00E-05,6.10E+00
9.10879E-20,8.18425E-20,7.4497E-20,6.23768E-20,4.05657E-20,4.24E-20,6.16E-21,1.28E-20,7.93E-21,4.79E-21,2.62355E-21,1.00E-05,6.20E+00
9.75675E-20,8.83114E-20,8.0858E-20,6.83357E-20,4.54331E-20,4.74E-20,8.14E-21,1.88E-20,1.17E-20,7.70E-21,4.37895E-21,1.00E-05,6.30E+00
1.02251E-19,9.40779E-20,8.73225E-20,7.57197E-20,5.37988E-20,5.58E-20,1.38E-20,3.76E-20,2.33E-20,1.74E-20,1.0852E-20,1.00E-05,6.40E+00
8.29807E-20,7.69318E-20,7.19154E-20,6.34926E-20,4.75804E-20,4.91E-20,1.64E-20,4.83E-20,2.99E-20,2.32E-20,1.44631E-20,1.00E-05,6.50E+00
6.95075E-20,6.42182E-20,5.99161E-20,5.25644E-20,3.84595E-20,3.98E-20,1.10E-20,3.57E-20,2.21E-20,1.88E-20,1.40969E-20,1.00E-05,6.60E+00
5.73121E-20,5.27833E-20,4.91665E-20,4.29448E-20,3.10671E-20,3.21E-20,7.87E-21,2.35E-20,1.46E-20,1.20E-20,8.83673E-21,1.00E-05,6.70E+00
4.55381E-20,4.19453E-20,3.90897E-20,3.40034E-20,2.4427E-20,2.53E-20,5.44E-21,1.47E-20,9.11E-21,6.94E-21,4.81177E-21,1.00E-05,6.80E+00
3.60744E-20,3.31934E-20,3.08876E-20,2.67536E-20,1.89584E-20,1.96E-20,3.84E-21,9.40E-21,5.83E-21,4.10E-21,2.6431E-21,1.00E-05,6.90E+00
2.79014E-20,2.56843E-20,2.38813E-20,2.06687E-20,1.46725E-20,1.52E-20,2.97E-21,7.13E-21,4.42E-21,3.04E-21,1.90768E-21,1.00E-05,7.00E+00
2.1082E-20,1.93933E-20,1.80369E-20,1.57048E-20,1.12498E-20,1.16E-20,2.33E-21,5.61E-21,3.48E-21,2.40E-21,1.53151E-21,1.00E-05,7.10E+00
1.54226E-20,1.42148E-20,1.32751E-20,1.16654E-20,8.41768E-21,8.71E-21,1.79E-21,4.28E-21,2.66E-21,1.81E-21,1.12893E-21,1.00E-05,7.20E+00
1.20899E-20,1.1268E-20,1.06159E-20,9.42598E-21,6.88115E-21,7.12E-21,1.56E-21,3.88E-21,2.41E-21,1.71E-21,1.12289E-21,1.00E-05,7.30E+00
9.20149E-21,8.62447E-21,8.16569E-21,7.31028E-21,5.44315E-21,5.62E-21,1.32E-21,3.31E-21,2.05E-21,1.46E-21,9.45514E-22,1.00E-05,7.40E+00
7.16629E-21,6.72374E-21,6.36499E-21,5.71991E-21,4.36755E-21,4.50E-21,1.14E-21,2.95E-21,1.83E-21,1.32E-21,8.76982E-22,1.00E-05,7.50E+00
5.66581E-21,5.31545E-21,5.02484E-21,4.52967E-21,3.54304E-21,3.64E-21,1.00E-21,2.67E-21,1.66E-21,1.23E-21,8.34779E-22,1.00E-05,7.60E+00
4.67476E-21,4.38896E-21,4.15267E-21,3.75601E-21,2.96289E-21,3.05E-21,8.92E-22,2.51E-21,1.56E-21,1.22E-21,8.79682E-22,1.00E-05,7.70E+00
3.74327E-21,3.5401E-21,3.3705E-21,3.08938E-21,2.50101E-21,2.57E-21,8.28E-22,2.89E-21,1.79E-21,1.74E-21,1.61281E-21,1.00E-05,7.80E+00
3.19507E-21,3.05449E-21,2.93274E-21,2.73618E-21,2.29499E-21,2.35E-21,8.70E-22,4.22E-21,2.62E-21,3.05E-21,3.23539E-21,1.00E-05,7.90E+00
2.38445E-21,2.29151E-21,2.20899E-21,2.08257E-21,1.79145E-21,1.83E-21,8.04E-22,5.64E-21,3.50E-21,4.62E-21,5.27298E-21,1.00E-05,8.00E+00
1.94172E-21,1.88281E-21,1.82693E-21,1.74841E-21,1.55268E-21,1.58E-21,7.13E-22,3.82E-21,2.37E-21,2.84E-21,3.05929E-21,1.00E-05,8.10E+00
1.49051E-21,1.46246E-21,1.43097E-21,1.39601E-21,1.29122E-21,1.31E-21,6.95E-22,4.70E-21,2.92E-21,3.81E-21,4.30981E-21,1.00E-05,8.20E+00
1.1077E-21,1.09764E-21,1.08117E-21,1.07101E-21,1.02464E-21,1.04E-21,5.90E-22,3.51E-21,2.18E-21,2.72E-21,2.98041E-21,1.00E-05,8.30E+00
8.51498E-22,8.53933E-22,8.47876E-22,8.55303E-22,8.50326E-22,8.59E-22,5.51E-22,3.61E-21,2.24E-21,2.88E-21,3.22209E-21,1.00E-05,8.40E+00
6.53695E-22,6.68651E-22,6.71584E-22,6.94948E-22,7.31042E-22,7.35E-22,5.37E-22,2.96E-21,1.84E-21,2.21E-21,2.34479E-21,1.00E-05,8.50E+00
4.58107E-22,4.7594E-22,4.82547E-22,5.08732E-22,5.57089E-22,5.59E-22,4.62E-22,2.80E-21,1.73E-21,2.14E-21,2.31955E-21,1.00E-05,8.60E+00
3.11725E-22,3.29589E-22,3.37883E-22,3.62435E-22,4.1295E-22,4.13E-22,3.74E-22,2.00E-21,1.24E-21,1.43E-21,1.45992E-21,1.00E-05,8.70E+00
2.45211E-22,2.6502E-22,2.74473E-22,3.0024E-22,3.56886E-22,3.56E-22,3.64E-22,2.08E-21,1.29E-21,1.52E-21,1.56242E-21,1.00E-05,8.80E+00
1.77774E-22,1.96034E-22,2.06618E-22,2.31247E-22,2.88898E-22,2.88E-22,3.41E-22,2.17E-21,1.34E-21,1.61E-21,1.67732E-21,1.00E-05,8.90E+00
1.46088E-22,1.63178E-22,1.72515E-22,1.94431E-22,2.47095E-22,2.46E-22,3.07E-22,2.06E-21,1.28E-21,1.55E-21,1.62995E-21,1.00E-05,9.00E+00
8.95655E-23,1.00693E-22,1.07552E-22,1.2282E-22,1.59952E-22,1.59E-22,1.94E-22,1.24E-21,7.68E-22,9.02E-22,9.20094E-22,1.00E-05,9.10E+00
5.99647E-23,6.93852E-23,7.57901E-23,8.92904E-23,1.23802E-22,1.23E-22,1.62E-22,9.78E-22,6.07E-22,6.84E-22,6.67625E-22,1.00E-05,9.20E+00
3.68488E-23,4.49609E-23,5.14094E-23,6.38395E-23,9.69756E-23,9.57E-23,1.48E-22,9.50E-22,5.90E-22,6.75E-22,6.63939E-22,1.00E-05,9.30E+00
2.20351E-23,2.84107E-23,3.4052E-23,4.43275E-23,7.21864E-23,7.10E-23,1.21E-22,8.24E-22,5.11E-22,5.93E-22,5.89509E-22,1.00E-05,9.40E+00
1.20888E-23,1.67099E-23,2.16181E-23,3.01679E-23,5.37113E-23,5.27E-23,9.80E-23,7.06E-22,4.38E-22,5.12E-22,5.10691E-22,1.00E-05,9.50E+00
7.48051E-24,1.04955E-23,1.47389E-23,2.209E-23,4.20301E-23,4.11E-23,8.02E-23,6.21E-22,3.85E-22,4.57E-22,4.62637E-22,1.00E-05,9.60E+00
4.64029E-24,6.44103E-24,1.00163E-23,1.64783E-23,3.28895E-23,3.21E-23,5.56E-23,3.92E-22,2.43E-22,2.78E-22,2.69069E-22,1.00E-05,9.70E+00
3.02601E-24,3.74506E-24,5.57166E-24,1.01657E-23,2.29837E-23,2.24E-23,4.63E-23,4.15E-22,2.58E-22,3.14E-22,3.23148E-22,1.00E-05,9.80E+00
3.2279E-24,3.7173E-24,5.03867E-24,9.07809E-24,2.10994E-23,2.06E-23,4.27E-23,3.96E-22,2.46E-22,3.00E-22,3.10375E-22,1.00E-05,9.90E+00
3.05506E-24,3.30023E-24,4.01982E-24,7.09365E-24,1.60471E-23,1.56E-23,2.62E-23,2.22E-22,1.38E-22,1.62E-22,1.60354E-22,1.00E-05,1.00E+01
3.36068E-24,3.48189E-24,3.82587E-24,5.78043E-24,1.37602E-23,1.35E-23,3.51E-23,3.88E-22,2.41E-22,3.07E-22,3.28098E-22,1.00E-05,1.01E+01
2.15633E-24,2.14396E-24,2.19139E-24,2.91653E-24,6.31283E-24,6.19E-24,1.33E-23,1.42E-22,8.82E-23,1.10E-22,1.1458E-22,1.00E-05,1.02E+01
1.95607E-24,1.90024E-24,1.88147E-24,2.34049E-24,5.17571E-24,5.08E-24,1.19E-23,1.32E-22,8.18E-23,1.03E-22,1.06988E-22,1.00E-05,1.03E+01
2.83405E-24,2.68376E-24,2.58283E-24,2.87448E-24,5.36574E-24,5.30E-24,1.21E-23,1.40E-22,8.68E-23,1.11E-22,1.17219E-22,1.00E-05,1.04E+01
1.89924E-24,1.76587E-24,1.69299E-24,2.25648E-24,6.59037E-24,6.43E-24,1.61E-23,1.72E-22,1.07E-22,1.32E-22,1.35648E-22,1.00E-05,1.05E+01
9.13406E-25,8.56859E-25,8.19314E-25,9.12884E-25,2.21449E-24,2.19E-24,9.68E-24,1.35E-22,8.36E-23,1.12E-22,1.23542E-22,1.00E-05,1.06E+01
1.46381E-24,1.32514E-24,1.22178E-24,1.17269E-24,2.03955E-24,2.03E-24,6.11E-24,7.77E-23,4.82E-23,6.28E-23,6.64572E-23,1.00E-05,1.07E+01
1.06796E-24,9.60962E-25,8.75052E-25,9.52614E-25,3.03711E-24,2.98E-24,1.19E-23,1.49E-22,9.26E-23,1.20E-22,1.28997E-22,1.00E-05,1.08E+01
4.97013E-26,4.71394E-26,4.58753E-26,1.01845E-25,8.20514E-25,8.00E-25,4.17E-24,5.43E-23,3.37E-23,4.39E-23,4.64341E-23,1.00E-05,1.09E+01
4.75009E-27,4.64521E-27,4.68177E-27,1.87376E-26,1.70361E-25,1.65E-25,7.40E-25,9.44E-24,5.86E-24,7.48E-24,7.50678E-24,1.00E-05,1.10E+01
8.18575E-20,7.32828E-20,6.65403E-20,5.54954E-20,3.6056E-20,3.77E-20,5.57E-21,1.18E-20,7.32E-21,4.50E-21,2.49563E-21,1.00E-04,6.00E+00
8.80564E-20,7.91763E-20,7.21002E-20,6.02882E-20,3.92997E-20,4.11E-20,6.06E-21,1.27E-20,7.89E-21,4.81E-21,2.63331E-21,1.00E-04,6.10E+00
9.14273E-20,8.24404E-20,7.52253E-20,6.30368E-20,4.12123E-20,4.30E-20,6.35E-21,1.33E-20,8.26E-21,5.00E-21,2.71973E-21,1.00E-04,6.20E+00
1.02563E-19,9.33401E-20,8.5863E-20,7.29282E-20,4.91528E-20,5.12E-20,9.08E-21,2.09E-20,1.30E-20,8.47E-21,4.72948E-21,1.00E-04,6.30E+00
1.10779E-19,1.03351E-19,9.70075E-20,8.64975E-20,6.61513E-20,6.81E-20,2.23E-20,6.07E-20,3.77E-20,2.71E-20,1.56485E-20,1.00E-04,6.40E+00
8.87248E-20,8.2965E-20,7.80187E-20,6.99881E-20,5.4807E-20,5.63E-20,2.34E-20,6.89E-20,4.28E-20,3.25E-20,1.93249E-20,1.00E-04,6.50E+00
7.30439E-20,6.80334E-20,6.38883E-20,5.69398E-20,4.3944E-20,4.52E-20,1.92E-20,6.10E-20,3.79E-20,3.06E-20,1.94376E-20,1.00E-04,6.60E+00
5.90075E-20,5.47158E-20,5.12133E-20,4.50979E-20,3.38329E-20,3.49E-20,1.20E-20,4.52E-20,2.80E-20,2.59E-20,2.08921E-20,1.00E-04,6.70E+00
4.71982E-20,4.38961E-20,4.11661E-20,3.62554E-20,2.72305E-20,2.80E-20,8.29E-21,2.90E-20,1.80E-20,1.64E-20,1.34438E-20,1.00E-04,6.80E+00
3.77457E-20,3.50367E-20,3.28799E-20,2.89891E-20,2.1559E-20,2.22E-20,5.53E-21,1.65E-20,1.02E-20,8.40E-21,6.31811E-21,1.00E-04,6.90E+00
2.84083E-20,2.64011E-20,2.48607E-20,2.20414E-20,1.66062E-20,1.71E-20,4.15E-21,1.16E-20,7.22E-21,5.65E-21,4.08359E-21,1.00E-04,7.00E+00
2.13286E-20,1.99181E-20,1.88495E-20,1.68438E-20,1.27919E-20,1.32E-20,3.15E-21,8.14E-21,5.05E-21,3.67E-21,2.43195E-21,1.00E-04,7.10E+00
1.56671E-20,1.47074E-20,1.39532E-20,1.25035E-20,9.54335E-21,9.84E-21,2.38E-21,6.05E-21,3.76E-21,2.68E-21,1.75426E-21,1.00E-04,7.20E+00
1.19412E-20,1.12412E-20,1.06829E-20,9.62161E-21,7.50651E-21,7.72E-21,1.97E-21,5.05E-21,3.14E-21,2.24E-21,1.45967E-21,1.00E-04,7.30E+00
8.88141E-21,8.33427E-21,7.91378E-21,7.18015E-21,5.72576E-21,5.88E-21,1.61E-21,4.13E-21,2.57E-21,1.83E-21,1.17124E-21,1.00E-04,7.40E+00
7.09557E-21,6.68474E-21,6.35152E-21,5.78266E-21,4.66268E-21,4.79E-21,1.40E-21,3.68E-21,2.28E-21,1.65E-21,1.07232E-21,1.00E-04,7.50E+00
5.81544E-21,5.50856E-21,5.25002E-21,4.82539E-21,3.96494E-21,4.07E-21,1.30E-21,3.54E-21,2.20E-21,1.63E-21,1.08628E-21,1.00E-04,7.60E+00
4.61102E-21,4.39546E-21,4.20608E-21,3.91046E-21,3.28254E-21,3.36E-21,1.16E-21,3.25E-21,2.02E-21,1.54E-21,1.06127E-21,1.00E-04,7.70E+00
3.52424E-21,3.38112E-21,3.24858E-21,3.05966E-21,2.63981E-21,2.69E-21,1.05E-21,3.13E-21,1.94E-21,1.59E-21,1.20151E-21,1.00E-04,7.80E+00
2.92503E-21,2.84144E-21,2.75273E-21,2.65151E-21,2.38261E-21,2.42E-21,1.10E-21,4.62E-21,2.87E-21,3.08E-21,3.07998E-21,1.00E-04,7.90E+00
2.27186E-21,2.22227E-21,2.1619E-21,2.10938E-21,1.94403E-21,1.97E-21,9.42E-22,2.85E-21,1.77E-21,1.41E-21,9.73146E-22,1.00E-04,8.00E+00
1.7073E-21,1.68278E-21,1.6447E-21,1.62662E-21,1.54313E-21,1.56E-21,8.82E-22,4.09E-21,2.54E-21,2.78E-21,2.79089E-21,1.00E-04,8.10E+00
1.30338E-21,1.29993E-21,1.27996E-21,1.29011E-21,1.2724E-21,1.28E-21,8.62E-22,5.11E-21,3.17E-21,3.88E-21,4.22974E-21,1.00E-04,8.20E+00
9.55285E-22,9.59137E-22,9.48052E-22,9.64992E-22,9.70185E-22,9.78E-22,6.71E-22,3.48E-21,2.16E-21,2.49E-21,2.59621E-21,1.00E-04,8.30E+00
7.5754E-22,7.78221E-22,7.79191E-22,8.16584E-22,8.72953E-22,8.76E-22,7.38E-22,4.06E-21,2.52E-21,2.96E-21,3.11879E-21,1.00E-04,8.40E+00
5.30635E-22,5.50881E-22,5.55962E-22,5.90348E-22,6.4955E-22,6.50E-22,5.91E-22,3.05E-21,1.89E-21,2.13E-21,2.15225E-21,1.00E-04,8.50E+00
3.68447E-22,3.96559E-22,4.08868E-22,4.49941E-22,5.33438E-22,5.32E-22,6.16E-22,3.67E-21,2.28E-21,2.73E-21,2.89952E-21,1.00E-04,8.60E+00
2.4533E-22,2.6503E-22,2.75723E-22,3.06832E-22,3.69638E-22,3.68E-22,4.17E-22,2.25E-21,1.40E-21,1.58E-21,1.5777E-21,1.00E-04,8.70E+00
1.74887E-22,1.93347E-22,2.06569E-22,2.39059E-22,3.10798E-22,3.09E-22,4.14E-22,2.51E-21,1.56E-21,1.81E-21,1.85118E-21,1.00E-04,8.80E+00
1.33875E-22,1.51509E-22,1.64401E-22,1.93349E-22,2.57854E-22,2.56E-22,3.59E-22,2.18E-21,1.35E-21,1.56E-21,1.57608E-21,1.00E-04,8.90E+00
9.4884E-23,1.11634E-22,1.25872E-22,1.53664E-22,2.17136E-22,2.15E-22,3.59E-22,2.56E-21,1.59E-21,1.92E-21,2.0291E-21,1.00E-04,9.00E+00
6.17255E-23,7.27627E-23,7.97857E-23,9.56148E-23,1.32223E-22,1.31E-22,1.96E-22,1.30E-21,8.08E-22,9.45E-22,9.64728E-22,1.00E-04,9.10E+00
3.71981E-23,4.58089E-23,5.17456E-23,6.46107E-23,9.87175E-23,9.79E-23,1.77E-22,1.33E-21,8.25E-22,9.80E-22,1.00706E-21,1.00E-04,9.20E+00
2.21098E-23,2.86438E-23,3.42415E-23,4.50791E-23,7.36253E-23,7.29E-23,1.42E-22,1.08E-21,6.69E-22,7.91E-22,8.06464E-22,1.00E-04,9.30E+00
1.23912E-23,1.69395E-23,2.19983E-23,3.11282E-23,5.53064E-23,5.47E-23,1.17E-22,9.59E-22,5.95E-22,7.16E-22,7.41605E-22,1.00E-04,9.40E+00
5.82044E-24,8.67145E-24,1.32514E-23,2.12836E-23,4.25828E-23,4.20E-23,9.58E-23,7.90E-22,4.90E-22,5.86E-22,6.00693E-22,1.00E-04,9.50E+00
2.63268E-24,4.20667E-24,8.01814E-24,1.50043E-23,3.29014E-23,3.24E-23,7.75E-23,6.69E-22,4.15E-22,5.01E-22,5.17926E-22,1.00E-04,9.60E+00
1.15949E-24,2.01845E-24,4.73585E-24,1.05475E-23,2.50387E-23,2.46E-23,5.21E-23,4.09E-22,2.54E-22,2.94E-22,2.90927E-22,1.00E-04,9.70E+00
1.08125E-24,1.5963E-24,2.99176E-24,7.14018E-24,1.84085E-23,1.81E-23,4.58E-23,4.32E-22,2.68E-22,3.30E-22,3.47062E-22,1.00E-04,9.80E+00
1.88019E-24,2.28433E-24,3.22059E-24,6.81146E-24,1.74217E-23,1.72E-23,4.25E-23,4.06E-22,2.52E-22,3.09E-22,3.23848E-22,1.00E-04,9.90E+00
2.5396E-24,2.81428E-24,3.42208E-24,6.34569E-24,1.46092E-23,1.44E-23,2.72E-23,2.29E-22,1.42E-22,1.67E-22,1.66176E-22,1.00E-04,1.00E+01
3.43851E-24,3.5424E-24,3.7653E-24,5.49836E-24,1.21661E-23,1.21E-23,3.51E-23,3.94E-22,2.45E-22,3.14E-22,3.41264E-22,1.00E-04,1.01E+01
2.33956E-24,2.32277E-24,2.35438E-24,3.1213E-24,6.45552E-24,6.45E-24,1.60E-23,1.73E-22,1.07E-22,1.35E-22,1.42945E-22,1.00E-04,1.02E+01
2.32456E-24,2.25416E-24,2.21577E-24,2.66447E-24,5.18601E-24,5.21E-24,1.33E-23,1.47E-22,9.10E-23,1.15E-22,1.22337E-22,1.00E-04,1.03E+01
2.35462E-24,2.24236E-24,2.16579E-24,2.47184E-24,4.66087E-24,4.70E-24,1.30E-23,1.52E-22,9.44E-23,1.22E-22,1.31404E-22,1.00E-04,1.04E+01
2.21891E-24,2.07252E-24,1.97979E-24,2.3632E-24,5.44299E-24,5.49E-24,1.78E-23,2.13E-22,1.32E-22,1.71E-22,1.85735E-22,1.00E-04,1.05E+01
1.80334E-24,1.66897E-24,1.57822E-24,1.55528E-24,2.30003E-24,2.35E-24,8.33E-24,1.11E-22,6.88E-23,9.17E-23,1.01692E-22,1.00E-04,1.06E+01
1.74653E-24,1.59387E-24,1.47338E-24,1.34658E-24,1.79169E-24,1.83E-24,5.71E-24,7.45E-23,4.62E-23,6.10E-23,6.65108E-23,1.00E-04,1.07E+01
9.91491E-25,8.94891E-25,8.19561E-25,8.40992E-25,2.14267E-24,2.19E-24,1.11E-23,1.47E-22,9.10E-23,1.20E-22,1.32824E-22,1.00E-04,1.08E+01
3.64933E-25,3.25479E-25,2.94788E-25,2.8074E-25,5.79312E-25,5.92E-25,2.89E-24,3.96E-23,2.46E-23,3.27E-23,3.55496E-23,1.00E-04,1.09E+01
2.8801E-25,2.56743E-25,2.32104E-25,2.01066E-25,2.74172E-25,2.84E-25,1.33E-24,1.82E-23,1.13E-23,1.51E-23,1.65945E-23,1.00E-04,1.10E+01
8.4841E-20,7.67068E-20,7.02029E-20,5.89249E-20,3.87418E-20,4.04E-20,6.07E-21,1.27E-20,7.85E-21,4.73E-21,2.55305E-21,1.00E-03,6.00E+00
9.35939E-20,8.50983E-20,7.81368E-20,6.57225E-20,4.33196E-20,4.52E-20,6.76E-21,1.41E-20,8.74E-21,5.24E-21,2.80682E-21,1.00E-03,6.10E+00
1.02045E-19,9.31709E-20,8.59814E-20,7.2717E-20,4.82877E-20,5.04E-20,7.58E-21,1.58E-20,9.84E-21,5.89E-21,3.14557E-21,1.00E-03,6.20E+00
1.23968E-19,1.14187E-19,1.07091E-19,9.2832E-20,6.47126E-20,6.73E-20,1.29E-20,4.43E-20,2.75E-20,2.52E-20,2.21099E-20,1.00E-03,6.30E+00
1.20504E-19,1.11288E-19,1.04875E-19,9.15061E-20,6.48637E-20,6.73E-20,1.48E-20,7.48E-20,4.64E-20,5.15E-20,5.21882E-20,1.00E-03,6.40E+00
9.74075E-20,9.00723E-20,8.48904E-20,7.42385E-20,5.31708E-20,5.51E-20,1.18E-20,4.29E-20,2.67E-20,2.52E-20,2.24794E-20,1.00E-03,6.50E+00
7.66563E-20,7.14456E-20,6.78121E-20,6.05846E-20,4.6023E-20,4.74E-20,1.55E-20,4.82E-20,2.99E-20,2.45E-20,1.72205E-20,1.00E-03,6.60E+00
5.91962E-20,5.49296E-20,5.21951E-20,4.65156E-20,3.52177E-20,3.63E-20,1.38E-20,4.94E-20,3.06E-20,2.74E-20,2.10344E-20,1.00E-03,6.70E+00
4.38703E-20,4.04479E-20,3.85377E-20,3.43285E-20,2.59285E-20,2.67E-20,1.01E-20,5.19E-20,3.22E-20,3.57E-20,3.53032E-20,1.00E-03,6.80E+00
3.42602E-20,3.1542E-20,3.0153E-20,2.69247E-20,2.03969E-20,2.10E-20,6.98E-21,3.25E-20,2.02E-20,2.20E-20,2.18629E-20,1.00E-03,6.90E+00
2.54901E-20,2.36876E-20,2.27081E-20,2.0366E-20,1.58087E-20,1.62E-20,5.55E-21,2.37E-20,1.47E-20,1.52E-20,1.45331E-20,1.00E-03,7.00E+00
1.90826E-20,1.7909E-20,1.71979E-20,1.55669E-20,1.26919E-20,1.30E-20,4.46E-21,1.60E-20,9.94E-21,9.26E-21,8.03826E-21,1.00E-03,7.10E+00
1.40496E-20,1.32086E-20,1.26616E-20,1.15057E-20,9.67394E-21,9.90E-21,3.38E-21,1.08E-20,6.70E-21,5.72E-21,4.511E-21,1.00E-03,7.20E+00
1.03276E-20,9.70917E-21,9.30354E-21,8.50461E-21,7.22545E-21,7.39E-21,2.49E-21,7.60E-21,4.72E-21,3.85E-21,2.8817E-21,1.00E-03,7.30E+00
8.03603E-21,7.51064E-21,7.21146E-21,6.60341E-21,5.54124E-21,5.68E-21,2.05E-21,7.00E-21,4.34E-21,3.88E-21,3.23232E-21,1.00E-03,7.40E+00
6.34016E-21,5.98427E-21,5.77439E-21,5.38506E-21,4.66153E-21,4.76E-21,2.04E-21,7.33E-21,4.55E-21,4.16E-21,3.49711E-21,1.00E-03,7.50E+00
4.96553E-21,4.72999E-21,4.57749E-21,4.32725E-21,3.82851E-21,3.90E-21,1.86E-21,6.78E-21,4.21E-21,3.86E-21,3.20227E-21,1.00E-03,7.60E+00
3.84138E-21,3.68377E-21,3.56859E-21,3.40471E-21,3.05848E-21,3.11E-21,1.62E-21,6.04E-21,3.75E-21,3.46E-21,2.85084E-21,1.00E-03,7.70E+00
3.08479E-21,2.98063E-21,2.89361E-21,2.78904E-21,2.5496E-21,2.59E-21,1.52E-21,5.98E-21,3.71E-21,3.55E-21,3.03603E-21,1.00E-03,7.80E+00
2.48918E-21,2.41933E-21,2.35381E-21,2.29144E-21,2.12075E-21,2.15E-21,1.36E-21,6.81E-21,4.22E-21,4.85E-21,5.11463E-21,1.00E-03,7.90E+00
1.92717E-21,1.89157E-21,1.85182E-21,1.83795E-21,1.75775E-21,1.78E-21,1.35E-21,7.60E-21,4.72E-21,5.58E-21,5.97923E-21,1.00E-03,8.00E+00
1.46033E-21,1.4422E-21,1.41698E-21,1.43085E-21,1.4039E-21,1.42E-21,1.13E-21,6.05E-21,3.76E-21,4.19E-21,4.18945E-21,1.00E-03,8.10E+00
1.10063E-21,1.09826E-21,1.0832E-21,1.11493E-21,1.12905E-21,1.14E-21,1.03E-21,7.01E-21,4.35E-21,5.41E-21,6.03845E-21,1.00E-03,8.20E+00
7.97718E-22,8.06736E-22,8.00483E-22,8.42005E-22,8.86977E-22,8.94E-22,9.02E-22,6.46E-21,4.01E-21,5.04E-21,5.68031E-21,1.00E-03,8.30E+00
5.60547E-22,5.76874E-22,5.77704E-22,6.21334E-22,6.77919E-22,6.81E-22,7.18E-22,4.97E-21,3.09E-21,3.81E-21,4.23481E-21,1.00E-03,8.40E+00
3.62822E-22,3.8118E-22,3.86724E-22,4.27757E-22,4.92119E-22,4.94E-22,5.93E-22,4.20E-21,2.60E-21,3.25E-21,3.63789E-21,1.00E-03,8.50E+00
2.54952E-22,2.73689E-22,2.81118E-22,3.16931E-22,3.77794E-22,3.78E-22,4.76E-22,3.15E-21,1.96E-21,2.35E-21,2.54001E-21,1.00E-03,8.60E+00
1.72541E-22,1.90517E-22,1.98913E-22,2.29848E-22,2.89379E-22,2.90E-22,4.16E-22,2.94E-21,1.83E-21,2.25E-21,2.49637E-21,1.00E-03,8.70E+00
1.21696E-22,1.39394E-22,1.48398E-22,1.7451E-22,2.265E-22,2.26E-22,3.44E-22,2.41E-21,1.49E-21,1.82E-21,1.9781E-21,1.00E-03,8.80E+00
8.42422E-23,1.0082E-22,1.10311E-22,1.32763E-22,1.79969E-22,1.80E-22,3.15E-22,2.35E-21,1.46E-21,1.79E-21,1.9399E-21,1.00E-03,8.90E+00
